#roi_key,roi_name,roi_latitudes,roi_longitudes_east
JUICE_ROI_GAN_5_0_11,Laomedon,[15. 15. 29. 29.],[276. 288. 288. 276.]
JUICE_ROI_GAN_5_0_12,Cisti,[-38. -38. -25. -25.],[288. 302. 302. 288.]
JUICE_ROI_GAN_6_1_01,Marius Regio I,[-14. -14.  -8.  -8.],[182. 190. 190. 182.]
JUICE_ROI_GAN_6_1_02,Galileo Regio,[13. 13. 25. 25.],[198. 215. 215. 198.]
JUICE_ROI_GAN_6_1_03,Galileo Regio,[22. 22. 33. 33.],[225. 237. 237. 225.]
JUICE_ROI_GAN_6_1_04,Perrine Regio,[10. 10. 23. 23.],[297. 310. 310. 297.]
JUICE_ROI_GAN_6_1_05,Marius Regio Ii,[29. 29. 39. 39.],[163. 173. 173. 163.]
JUICE_ROI_GAN_6_1_06,Marius Regio Iii,[34. 34. 45. 45.],[152. 162. 162. 152.]
JUICE_ROI_GAN_6_1_08,Anshar Sulcus,[ 8.  8. 16. 16.],[167. 173. 173. 167.]
JUICE_ROI_GAN_6_2_01,Hursag Sulcus,[-21. -21.  -5.  -5.],[ 89. 106. 106.  89.]
JUICE_ROI_GAN_6_2_02,Anshar Sulcus,[20. 20. 31. 31.],[147. 157. 157. 147.]
JUICE_ROI_GAN_6_2_03,Kishar Sulcus,[-18. -18.  -6.  -6.],[130. 145. 145. 130.]
JUICE_ROI_GAN_6_2_04,Dardanus Sulcus,[-23. -23. -15. -15.],[340. 352. 352. 340.]
JUICE_ROI_GAN_6_2_05,Arbela Sulcus,[-19. -19. -14. -14.],[10. 15. 15. 10.]
JUICE_ROI_GAN_6_2_06,Elam/Nippur Sulcus,[43. 43. 55. 55.],[165. 177. 177. 165.]
JUICE_ROI_GAN_6_2_07,Ur/Philae Sulcus,[55. 55. 62. 62.],[184. 191. 191. 184.]
JUICE_ROI_GAN_6_3_01,Babylon Sulci I,[-43. -43. -32. -32.],[222. 233. 233. 222.]
JUICE_ROI_GAN_6_3_02,Uruk Sulcus I,[-11. -11.   1.   1.],[202. 218. 218. 202.]
JUICE_ROI_GAN_6_3_03,Uruk Sulcus Ii,[ 5.  5. 15. 15.],[182. 192. 192. 182.]
JUICE_ROI_GAN_6_3_04,Mysia Sulci,[-6. -6.  4.  4.],[41. 51. 51. 41.]
JUICE_ROI_GAN_6_3_05,Phrygia Sulcus I,[10. 10. 20. 20.],[345. 355. 355. 345.]
JUICE_ROI_GAN_6_3_06,Babylon Sulci Ii,[-1. -1. 10. 10.],[280. 291. 291. 280.]
JUICE_ROI_GAN_6_3_07,Babylon Sulci Iii,[-31. -31. -22. -22.],[302. 311. 311. 302.]
JUICE_ROI_GAN_6_3_08,Babylon Sulci Iii,[-13. -13.  -4.  -4.],[290. 300. 300. 290.]
JUICE_ROI_GAN_6_3_09,Babylon Sulci V,[-11. -11.  -5.  -5.],[276. 282. 282. 276.]
